area_id,area_type,municipality,block,treatment,registered,turnout,hollande_share
P_78311_10,Precinct,Houilles,2951,0,1458,0.7551440596580505,0.3250230848789215
P_95277_4,Precinct,Gonesse,3530,1,899,0.7208008766174316,0.4633758068084717
P_95427_4,Precinct,Montmagny,3541,0,1323,0.7551020383834839,0.3761467933654785
P_92002_23,Precinct,Antony,3387,0,951,0.7528917193412781,0.37319883704185486
P_75112_1201,Precinct,"Paris, 12e arrondissement",2760,1,1201,0.7835137248039246,0.40625
M_77129,Municipality,Coulombs-en-Valois,2915,1,458,0.7947598099708557,0.24444444477558136
M_95091,Municipality,Bouffémont,3517,1,4047,0.7823078632354736,0.3355855941772461
P_95199_2,Precinct,Domont,3522,1,1014,0.7495068907737732,0.33512064814567566
P_92019_12,Precinct,Châtenay-Malabry,3393,0,1161,0.7812230587005615,0.45285215973854065
P_78490_14,Precinct,Plaisir,2976,1,1016,0.7568897604942322,0.41743725538253784
P_77284_6,Precinct,Meaux,2894,1,665,0.6646616458892822,0.4828375279903412
P_92023_29,Precinct,Clamart,3395,1,892,0.7208520174026489,0.49035370349884033
P_94017_34,Precinct,Champigny-sur-Marne,3474,1,1299,0.6805234551429749,0.5093457698822021
P_94068_20,Precinct,Saint-Maur-des-Fossés,3498,1,958,0.7839248180389404,0.2398373931646347
P_94079_6,Precinct,Villiers-sur-Marne,3508,1,887,0.7102593183517456,0.6059113144874573
P_78517_6,Precinct,Rambouillet,2978,1,1039,0.7844080924987793,0.26817041635513306
P_91386_8,Precinct,Mennecy,3362,1,1092,0.7463369965553284,0.2518518567085266
P_75103_312,Precinct,"Paris, 3e arrondissement",2778,1,1404,0.804131031036377,0.38303571939468384
P_78517_15,Precinct,Rambouillet,2978,0,918,0.7342047691345215,0.2764350473880768
P_91386_6,Precinct,Mennecy,3362,0,1128,0.7535461187362671,0.257485032081604
P_92071_13,Precinct,Sceaux,3417,1,1009,0.7799801826477051,0.3247753381729126
P_94077_6,Precinct,Villeneuve-le-Roi,3507,1,968,0.80888432264328,0.359375
P_93053_13,Precinct,Noisy-le-Sec,3451,0,1090,0.6788991093635559,0.39118456840515137
M_77296,Municipality,Moissy-Cramayel,2897,1,10161,0.7450054287910461,0.3813282549381256
P_93031_18,Precinct,Epinay-sur-Seine,3434,1,1110,0.6855855584144592,0.5482993125915527
P_95229_1,Precinct,Ezanville,3527,1,1282,0.7940717339515686,0.3022088408470154
P_94073_7,Precinct,Thiais,3501,1,1088,0.7601103186607361,0.31840795278549194
P_92040_23,Precinct,Issy-les-Moulineaux,3404,0,1165,0.7330471873283386,0.3033175468444824
P_78486_4,Precinct,Le Perray-en-Yvelines,2957,0,1013,0.7966436147689819,0.24525916576385498
